Row Labels,Count of Vendor
 LOS ANGELES,972
 SAN DIEGO,322
 ORANGE,321
 RIVERSIDE,234
 SAN BERNARDINO,210
 FRESNO,172
 KERN,158
 SACRAMENTO,141
 SANTA CLARA,138
 ALAMEDA,128
 VENTURA,106
 CONTRA COSTA,91
 TULARE,78
 STANISLAUS,70
 SAN JOAQUIN,70
 SONOMA,56
 SAN MATEO,56
 MONTEREY,55
 SANTA BARBARA,50
 MERCED,46
 PLACER,44
 SOLANO,42
 SAN FRANCISCO,37
 IMPERIAL,30
 SAN LUIS OBISPO,29
 KINGS,23
 YOLO,23
 MADERA,22
 BUTTE,22
 EL DORADO,20
 SHASTA,20
 HUMBOLDT,20
 SANTA CRUZ,20
 NAPA,18
 MARIN,17
 LAKE,10
 NEVADA,10
 MENDOCINO,10
 SISKIYOU,10
 SUTTER,10
 YUBA,9
 AMADOR,9
 NEVADA STATE 3,9
 TUOLUMNE,7
 SAN BENITO,7
 TEHAMA,6
 GLENN,6
 CALAVERAS,6
 PLUMAS,5
 COLUSA,5
 ARIZONA STATE 1,4
 TRINITY,3
 LASSEN,3
 DEL NORTE,3
 MODOC,3
 MONO,2
 INYO,2
 MARIPOSA,1
 NEVADA STATE 1,1
 SIERRA,1
(blank),
Grand Total,4003
